DATA;EJENKATNAT;TID;INDHOLD
ULTIMOMARKEDS;E1;2013M09;..
ULTIMOMARKEDS;E1;2013M10;1456881.9
ULTIMOMARKEDS;E1;2013M11;1463562.9
ULTIMOMARKEDS;E1;2013M12;1452616.6
ULTIMOMARKEDS;E1;2014M01;1461408.0
ULTIMOMARKEDS;E1;2014M02;1463903.9
ULTIMOMARKEDS;E1;2014M03;1457999.5
ULTIMOMARKEDS;E1;2014M04;1460414.6
ULTIMOMARKEDS;E1;2014M05;1468130.5
ULTIMOMARKEDS;E1;2014M06;1466104.3
ULTIMOMARKEDS;E1;2014M07;1465742.4
ULTIMOMARKEDS;E1;2014M08;1474314.8
ULTIMOMARKEDS;E1;2014M09;1464009.2
ULTIMOMARKEDS;E1;2014M10;1467739.2
ULTIMOMARKEDS;E1;2014M11;1469857.9
ULTIMOMARKEDS;E1;2014M12;1459608.7
ULTIMOMARKEDS;E1;2015M01;1467724.1
ULTIMOMARKEDS;E1;2015M02;1471309.4
ULTIMOMARKEDS;E1;2015M03;1461513.9
ULTIMOMARKEDS;E1;2015M04;1466444.8
ULTIMOMARKEDS;E1;2015M05;1459967.9
ULTIMOMARKEDS;E1;2015M06;1444125.5
ULTIMOMARKEDS;E1;2015M07;1454476.0
ULTIMOMARKEDS;E1;2015M08;1454432.1
ULTIMOMARKEDS;E1;2015M09;1450250.0
ULTIMOMARKEDS;E1;2015M10;1459548.1
ULTIMOMARKEDS;E1;2015M11;1464028.9
ULTIMOMARKEDS;E1;2015M12;1454205.0
ULTIMOMARKEDS;E1;2016M01;1463837.1
ULTIMOMARKEDS;E1;2016M02;1467172.9
ULTIMOMARKEDS;E1;2016M03;1466505.4
ULTIMOMARKEDS;E1;2016M04;1474977.3
ULTIMOMARKEDS;E1;2016M05;1481107.2
ULTIMOMARKEDS;E1;2016M06;1484459.8
ULTIMOMARKEDS;E1;2016M07;1491758.8
ULTIMOMARKEDS;E1;2016M08;1496729.1
ULTIMOMARKEDS;E1;2016M09;1496269.1
ULTIMOMARKEDS;E1;2016M10;1491478.6
ULTIMOMARKEDS;E1;2016M11;1491421.6
ULTIMOMARKEDS;E1;2016M12;1493693.8
ULTIMOMARKEDS;E1;2017M01;1491577.5
